valid_time,latitude,longitude,d2m
2020-01-01 00:00:00,4.500000000000837,-74.20000000000351,282.93716
2020-01-01 01:00:00,4.500000000000837,-74.20000000000351,283.35468
2020-01-01 02:00:00,4.500000000000837,-74.20000000000351,283.33008
2020-01-01 03:00:00,4.500000000000837,-74.20000000000351,283.1812
2020-01-01 04:00:00,4.500000000000837,-74.20000000000351,283.1123
2020-01-01 05:00:00,4.500000000000837,-74.20000000000351,282.92737
2020-01-01 06:00:00,4.500000000000837,-74.20000000000351,282.89572
2020-01-01 07:00:00,4.500000000000837,-74.20000000000351,281.7174
2020-01-01 08:00:00,4.500000000000837,-74.20000000000351,281.44794
2020-01-01 09:00:00,4.500000000000837,-74.20000000000351,281.17163
2020-01-01 10:00:00,4.500000000000837,-74.20000000000351,280.93155
2020-01-01 11:00:00,4.500000000000837,-74.20000000000351,280.76123
2020-01-01 12:00:00,4.500000000000837,-74.20000000000351,280.86884
2020-01-01 13:00:00,4.500000000000837,-74.20000000000351,282.24496
2020-01-01 14:00:00,4.500000000000837,-74.20000000000351,281.99725
2020-01-01 15:00:00,4.500000000000837,-74.20000000000351,281.7276
2020-01-01 16:00:00,4.500000000000837,-74.20000000000351,281.80518
2020-01-01 17:00:00,4.500000000000837,-74.20000000000351,281.8844
2020-01-01 18:00:00,4.500000000000837,-74.20000000000351,282.4776
2020-01-01 19:00:00,4.500000000000837,-74.20000000000351,282.3311
2020-01-01 20:00:00,4.500000000000837,-74.20000000000351,283.27924
2020-01-01 21:00:00,4.500000000000837,-74.20000000000351,283.56525
2020-01-01 22:00:00,4.500000000000837,-74.20000000000351,283.00153
2020-01-01 23:00:00,4.500000000000837,-74.20000000000351,283.46854
2020-01-02 00:00:00,4.500000000000837,-74.20000000000351,283.4243
2020-01-02 01:00:00,4.500000000000837,-74.20000000000351,283.54675
2020-01-02 02:00:00,4.500000000000837,-74.20000000000351,283.3259
2020-01-02 03:00:00,4.500000000000837,-74.20000000000351,283.2851
2020-01-02 04:00:00,4.500000000000837,-74.20000000000351,282.9917
2020-01-02 05:00:00,4.500000000000837,-74.20000000000351,282.6695
2020-01-02 06:00:00,4.500000000000837,-74.20000000000351,282.58978
2020-01-02 07:00:00,4.500000000000837,-74.20000000000351,282.72714
2020-01-02 08:00:00,4.500000000000837,-74.20000000000351,282.58957
2020-01-02 09:00:00,4.500000000000837,-74.20000000000351,282.65417
2020-01-02 10:00:00,4.500000000000837,-74.20000000000351,282.72223
2020-01-02 11:00:00,4.500000000000837,-74.20000000000351,282.78738
2020-01-02 12:00:00,4.500000000000837,-74.20000000000351,282.80286
2020-01-02 13:00:00,4.500000000000837,-74.20000000000351,282.4712
2020-01-02 14:00:00,4.500000000000837,-74.20000000000351,282.3329
2020-01-02 15:00:00,4.500000000000837,-74.20000000000351,282.9525
2020-01-02 16:00:00,4.500000000000837,-74.20000000000351,282.871
2020-01-02 17:00:00,4.500000000000837,-74.20000000000351,282.9655
2020-01-02 18:00:00,4.500000000000837,-74.20000000000351,284.24646
2020-01-02 19:00:00,4.500000000000837,-74.20000000000351,283.90735
2020-01-02 20:00:00,4.500000000000837,-74.20000000000351,285.2296
2020-01-02 21:00:00,4.500000000000837,-74.20000000000351,284.86874
2020-01-02 22:00:00,4.500000000000837,-74.20000000000351,283.43494
2020-01-02 23:00:00,4.500000000000837,-74.20000000000351,283.474
2020-01-03 00:00:00,4.500000000000837,-74.20000000000351,283.3679
2020-01-03 01:00:00,4.500000000000837,-74.20000000000351,283.1566
2020-01-03 02:00:00,4.500000000000837,-74.20000000000351,282.64975
2020-01-03 03:00:00,4.500000000000837,-74.20000000000351,282.82056
2020-01-03 04:00:00,4.500000000000837,-74.20000000000351,282.2874
2020-01-03 05:00:00,4.500000000000837,-74.20000000000351,281.7735
2020-01-03 06:00:00,4.500000000000837,-74.20000000000351,282.23376
2020-01-03 07:00:00,4.500000000000837,-74.20000000000351,282.33374
2020-01-03 08:00:00,4.500000000000837,-74.20000000000351,282.25568
2020-01-03 09:00:00,4.500000000000837,-74.20000000000351,282.0452
2020-01-03 10:00:00,4.500000000000837,-74.20000000000351,281.82544
2020-01-03 11:00:00,4.500000000000837,-74.20000000000351,281.79993
2020-01-03 12:00:00,4.500000000000837,-74.20000000000351,281.95178
2020-01-03 13:00:00,4.500000000000837,-74.20000000000351,282.0932
2020-01-03 14:00:00,4.500000000000837,-74.20000000000351,281.85428
2020-01-03 15:00:00,4.500000000000837,-74.20000000000351,281.47388
2020-01-03 16:00:00,4.500000000000837,-74.20000000000351,281.2767
2020-01-03 17:00:00,4.500000000000837,-74.20000000000351,281.55746
2020-01-03 18:00:00,4.500000000000837,-74.20000000000351,281.69632
2020-01-03 19:00:00,4.500000000000837,-74.20000000000351,281.0937
2020-01-03 20:00:00,4.500000000000837,-74.20000000000351,281.94434
2020-01-03 21:00:00,4.500000000000837,-74.20000000000351,282.1985
2020-01-03 22:00:00,4.500000000000837,-74.20000000000351,282.15982
2020-01-03 23:00:00,4.500000000000837,-74.20000000000351,282.23383
2020-01-04 00:00:00,4.500000000000837,-74.20000000000351,282.31973
2020-01-04 01:00:00,4.500000000000837,-74.20000000000351,282.33972
2020-01-04 02:00:00,4.500000000000837,-74.20000000000351,282.294
2020-01-04 03:00:00,4.500000000000837,-74.20000000000351,282.11902
2020-01-04 04:00:00,4.500000000000837,-74.20000000000351,281.72858
2020-01-04 05:00:00,4.500000000000837,-74.20000000000351,281.47345
2020-01-04 06:00:00,4.500000000000837,-74.20000000000351,281.0855
